TDryBul;HDirNor;oveHeaPumY_u;reaTZon_y;delta_reaTZon_y
271.75;0.0;1.0;292.5090411;0.152655693
270.8584416;0.0;1.0;292.6616968;0.13263261
270.15;0.0;1.0;292.7943294;0.116048869
269.6842857;0.0;1.0;292.9103783;0.101689867
269.45;0.0;1.0;293.0120681;0.095497286
269.3966667;0.0;1.0;293.1075654;0.082054663
269.35;0.0;1.0;293.1896201;0.069327871
269.2395833;0.0;0.984011242;293.258948;0.056392407
269.15;0.0;0.947860462;293.3153404;-0.005138315
269.58875;0.0;0.895438733;293.310202;0.048209377
270.15;0.0;0.847635035;293.3584114;0.053926407
270.355;0.0;1.0;293.4123378;0.069915709
270.45;0.0;1.0;293.4822535;0.067341102
270.45;0.0;1.0;293.5495946;0.06412057
270.45;0.0;1.0;293.6137152;0.069829715
270.45;0.0;1.0;293.6835449;0.077609952
270.45;0.0;1.0;293.7611549;0.074676723
270.4875;0.0;1.0;293.8358316;0.07029683
270.65;0.0;1.0;293.9061284;0.085973806
270.9;0.0;1.0;293.9921022;0.10160245
271.15;0.0;1.0;294.0937047;0.097343694
271.4;0.0;1.0;294.1910484;0.092324699
271.65;0.0;1.0;294.2833731;0.094261767
271.8675;0.0;1.0;294.3776348;0.103834122
272.05;0.0;1.0;294.481469;0.130577699
272.2033333;0.0;1.0;294.6120467;0.136331107
272.25;0.0;1.0;294.7483778;0.101887174
272.1729167;0.0;1.0;294.850265;0.072617311
272.05;0.0;1.0;294.9228823;0.013033572
271.89375;0.0;1.0;294.9359158;0.01281885
271.75;0.0;1.0;294.9487347;-0.044043145
271.78125;0.0;0.359738652;294.9046915;-0.192453038
271.85;0.0;0.0;294.7122385;-0.295819904
271.73875;0.0;0.0;294.4164186;-0.312239473
271.65;0.0;0.0;294.1041791;-0.235660151
271.705;0.0;0.0;293.868519;-0.254328676
271.85;0.0;0.0;293.6141903;-0.241547316
272.05;0.0;0.0;293.372643;-0.228782641
272.25;0.0;0.0;293.1438603;-0.12206911
272.45;0.0;0.01328103;293.0217912;-0.105749684
272.65;0.0;0.057847116;292.9160415;-0.09679138
272.9166667;0.0;0.133322137;292.8192502;-0.065498052
273.15;0.0;0.237386656;292.7537521;-0.032383209
273.0908333;0.0;0.359535924;292.7213689;0.004884585
272.95;0.0;0.489744413;292.7262535;0.047627578
272.92375;0.0;0.616624137;292.7738811;0.087076027
272.95;0.0;0.727078437;292.8609571;0.124121644
273.0919643;0.0;0.809437507;292.9850787;0.146474106
273.25;0.0;0.852707803;293.1315528;0.150543542
273.297619;0.0;0.850918244;293.2820964;0.140300155
273.35;0.0;0.803762151;293.4223965;0.118117306
273.5266667;0.0;0.715028181;293.5405138;0.085814483
273.85;0.0;0.591968161;293.6263283;0.052598415
274.3;0.0;0.444778938;293.6789267;0.007895973
274.75;0.0;0.283470993;293.6868227;-0.048032432
275.1542857;0.0;0.122029379;293.6387903;-0.125525137
275.55;0.0;0.0;293.5132651;-0.239382441
275.9482143;0.0;0.0;293.2738827;-0.198944302
276.25;0.0;0.0;293.0749384;-0.055796131
276.33;0.0;0.732465693;293.0191423;0.122630137
276.35;0.0;1.0;293.1417724;0.209925806
276.4283333;0.0;1.0;293.3516982;0.236979799
276.55;0.0;1.0;293.588678;0.248017775
276.8041667;0.0;1.0;293.8366958;0.280704795
277.15;29.3710443;1.0;294.1174006;0.352291378
277.5303571;75.0;1.0;294.469692;0.389936696
277.95;106.8930686;1.0;294.8596287;0.402559745
278.6071429;129.0;1.0;295.2621884;0.391009196
279.15;124.8192204;0.946215491;295.6531976;0.318045725
279.1769231;100.0;0.77570575;295.9712433;0.174613916
279.15;63.77934272;0.513430466;296.1458572;0.029368303
279.2605769;30.0;0.205942597;296.1752255;-0.140782945
279.35;9.137323944;0.0;296.0344426;-0.265885382
279.4;0.0;0.0;295.7685572;-0.272195356
279.45;0.0;0.0;295.4963619;-0.209332297
279.5;0.0;0.0;295.2870296;-0.212201762
279.55;0.0;0.0;295.0748278;-0.206054526
279.65;0.0;0.033161747;294.8687733;-0.134806197
279.75;0.0;0.127832489;294.7339671;-0.151228446
279.509375;0.0;0.0;294.5827386;-0.198249972
279.25;0.0;0.0;294.3844887;-0.18789721
279.278125;0.0;0.0;294.1965915;-0.174126963
279.35;0.0;0.0;294.0224645;-0.094819668
279.45;0.0;0.0;293.9276448;-0.134221562
279.55;0.0;0.0;293.7934233;-0.1295879
279.65;0.0;0.0;293.6638354;-0.123255501
279.75;0.0;0.0;293.5405799;-0.116095684
279.8175;0.0;0.0;293.4244842;-0.111687251
279.85;0.0;0.0;293.3127969;-0.107523353
279.8533333;0.0;0.0;293.2052736;-0.107019012
279.75;0.0;0.0;293.0982546;-0.053909458
279.5222222;0.0;0.020874583;293.0443451;-0.045959613
279.25;0.0;0.055266525;292.9983855;-0.04472025
278.9256944;0.0;0.10304886;292.9536652;-0.027902339
278.65;0.0;0.164185301;292.9257629;0.006582542
278.575;0.0;0.232851548;292.9323454;0.043466098
278.55;0.0;0.297818789;292.9758115;0.065733376
278.4505682;0.0;0.347902023;293.0415449;0.078171444
278.35;0.0;0.37715188;293.1197164;0.090230036
278.5;0.0;0.382328401;293.2099464;0.094135248
278.65;0.0;0.359832981;293.3040816;0.063060351
278.2931818;0.0;0.308901726;293.367142;0.021678796
277.95;0.0;0.240606111;293.3888208;-0.00368842
277.9;0.0;0.167875934;293.3851324;-0.034982414
277.85;0.0;0.097520645;293.35015;-0.130682438
277.8;0.0;0.039224779;293.2194675;-0.10728078
277.75;0.0;0.024918646;293.1121867;-0.01627205
277.540625;0.0;0.741626664;293.0959147;0.154370706
277.35;0.0;1.0;293.2502854;0.2396174
277.3739583;0.0;1.0;293.4899028;0.255581253
277.45;0.0;1.0;293.745484;0.271054043
277.5604167;0.0;1.0;294.0165381;0.277409613
277.65;0.0;1.0;294.2939477;0.262452821
277.7;0.0;1.0;294.5564005;0.246231347
277.75;0.0;1.0;294.8026319;0.233857838
277.8;0.0;1.0;295.0364897;0.222672389
277.85;0.0;1.0;295.2591621;0.20612517
277.8770833;0.0;0.956117752;295.4652873;0.173651398
277.75;0.0;0.851225313;295.6389387;0.093040741
276.6322917;0.0;0.695861144;295.7319794;-0.021454074
275.15;0.0;0.516615285;295.7105253;-0.098856234
274.1588942;0.0;0.349530389;295.6116691;-0.162669558
273.55;0.0;0.215972471;295.4489995;-0.196629481
273.4215745;0.0;0.134406087;295.2523701;-0.20658085
273.45;0.0;0.113526543;295.0457892;-0.208743706
273.5429688;0.0;0.155118823;294.8370455;-0.170018441
273.65;0.0;0.259442357;294.6670271;-0.188176255
273.8130208;0.0;0.0;294.4788508;-0.22925416
273.95;0.0;0.0;294.2495966;-0.237014914
273.8791667;0.0;0.0;294.0125817;-0.238611994
273.75;0.0;0.0;293.7739697;-0.159111954
273.7625;0.0;0.0;293.6148578;-0.192779108
273.75;0.0;0.0;293.4220787;-0.190624551
273.5473684;0.0;0.0;293.2314541;-0.193617752
273.25;0.0;0.0;293.0378364;-0.127410292
272.8251316;0.0;0.043329975;292.9104261;-0.107668855
272.45;0.0;0.121572665;292.8027572;-0.071038031
272.7091667;0.0;0.23112894;292.7317192;-0.014849043
273.05;0.0;0.360165082;292.7168702;0.024083915
272.9948958;0.0;0.490846488;292.7409541;0.068881537
272.95;0.0;0.612356072;292.8098356;0.098877338
272.9505208;0.0;0.710961313;292.9087129;0.118183134
272.95;0.0;0.778403563;293.0268961;0.126932432
272.9;0.0;0.809425583;293.1538285;0.131471162
272.85;0.0;0.801930409;293.2852997;0.117794832
273.0604167;0.0;0.75476695;293.4030945;0.10758147
273.25;0.0;0.672948857;293.510676;0.066595776
273.2;0.0;0.559366992;293.5772717;0.018025617
273.15;0.0;0.427855678;293.5952974;-0.028202959
273.1;0.0;0.293365187;293.5670944;-0.074545345
273.05;0.0;0.169647013;293.4925491;-0.109268081
273.4275;0.0;0.070609562;293.383281;-0.12486083
273.85;0.0;0.006088672;293.2584202;-0.221420646
273.8683333;0.0;0.0;293.0369995;-0.177086896
