TDryBul;HDirNor;oveHeaPumY_u;reaTZon_y;delta_reaTZon_y
274.15;0.0;0.0;294.15;
274.15;0.0;0.1869223090259774;294.04054099021;
274.15;0.0;0.3344104840299718;293.9674866231551;-0.0730543670549082
274.15;0.0;0.4481432616707913;293.9230839208195;-0.0444027023355602
274.15;0.0;0.5334795577801144;293.9007101174126;-0.0223738034069356
274.15;0.0;0.5953389119542527;293.8948052110487;-0.0059049063638667
274.15;0.0;0.6381344185163617;293.9007819833397;0.0059767722910351
274.15;0.0;0.6657454439732158;293.9149236641525;0.0141416808127701
273.86022727272723;0.0;0.6815195667812095;293.93427693038154;0.0193532662290181
273.1772727272727;0.0;0.6910033552372905;293.9549599501131;0.0206830197315639
272.3806818181818;0.0;0.6996654371514944;293.9736086469514;0.0186486968382837
271.75;0.0;0.7092401630447045;293.9894548278802;0.0158461809288041
271.29521103896104;0.0;0.7184342570984721;294.0035966631065;0.0141418352263258
270.85844155844154;0.0;0.7260663648622838;294.0169332220562;0.0133365589496747
270.4674512987013;0.0;0.7326387453208835;294.02926832811414;0.0123351060579466
270.15;0.0;0.7382688266404099;294.0406550153636;0.0113866872494554
269.8954464285714;0.0;0.742765659739223;294.0513204490678;0.0106654337042186
269.6842857142857;0.0;0.7460551544955839;294.0613957353599;0.0100752862920785
269.5309821428571;0.0;0.7482437470727463;294.0708903214421;0.0094945860822122
269.45;0.0;0.7492659981696512;294.0799131533271;0.0090228318849767
269.418125;0.0;0.7489210806885629;294.08863920797893;0.008726054651845
269.39666666666665;0.0;0.7472561182749552;294.09707698499847;0.0084377770195374
269.376875;0.0;0.7446627395622255;294.1050322130962;0.0079552280977281
269.35;0.0;0.741524777439515;294.11233881364734;0.0073066005511464
269.30234375;0.0;0.7382152272418099;294.1188572530943;0.0065184394469497
269.2395833333333;0.0;0.7351407705533579;294.124445241995;0.005587988900686
269.18203125;0.0;0.7325502215947193;294.1290702412326;0.0046249992376488
269.15;0.0;0.0;294.1328587202591;0.0037884790264683
269.27859375;0.0;0.0;293.9961287713969;-0.1367299488621824
269.58875;0.0;0.0;293.8608509260023;-0.1352778453946257
269.92953125;0.0;0.0;293.7280109193581;-0.1328400066441872
270.15;0.0;0.0;293.5977630184023;-0.1302479009557942
270.25875;0.0;0.0;293.46943457231305;-0.1283284460892559
270.355;0.0;0.0;293.3424036448214;-0.1270309274916599
270.42375;0.0;0.0;293.2165947227911;-0.1258089220302736
270.45;0.0;0.0;293.0918506121084;-0.1247441106827409
270.45;0.0;0.0;292.96793288471764;-0.123917727390733
270.45;0.0;0.0;292.8446933529137;-0.1232395318039607
270.45;0.0;0.0;292.7221283049656;-0.1225650479480577
270.45;0.0;0.0;292.6002340494568;-0.1218942555088915
270.45;0.0;0.0;292.4790069151732;-0.1212271342835151
270.45;0.0;0.0;292.3584432509936;-0.120563664179599
270.45;0.0;0.0;292.23853942577887;-0.1199038252147488
270.45;0.0;0.0;292.11929182826304;-0.1192475975158231
270.4578125;0.0;0.0;292.0006968669444;-0.1185949613186494
270.48749999999995;0.0;0.0;291.88279372740305;-0.1179031395413403
270.5484375;0.0;0.0;291.76569834412464;-0.1170953832784107
270.65;0.0;0.0;291.6495773260019;-0.1161210181227261
270.775;0.0;0.0;291.5346476789963;-0.1149296470056242
270.9;0.0;0.0;291.42103115506967;-0.1136165239266233
271.025;0.0;0.0;291.3087205675645;-0.1123105875051919
271.15;0.0;0.0;291.1977087691553;-0.1110117984091516
271.275;0.0;0.0;291.0879886516338;-0.1097201175215332
271.4;0.0;0.0;290.97955314569435;-0.1084355059394397
271.525;0.0;0.0107009570018292;290.87239522072144;-0.1071579249729097
271.65;0.0;1.0;290.7685576878528;-0.1038375328686811
271.76593749999995;0.0;1.0;290.855476035329;0.086918347476228
271.86749999999995;0.0;1.0;290.94255320319024;0.0870771678612527
271.9603125;0.0;1.0;291.0297096485571;0.0871564453668725
272.04999999999995;0.0;1.0;291.11689704923094;0.0871874006738266
272.135;0.0;1.0;291.20409813282464;0.0872010835936976
272.2033333333333;0.0;1.0;291.2912871699968;0.0871890371721519
272.245;0.0;1.0;291.3783730108354;0.087085840838597
272.25;0.0;1.0;291.46521027478246;0.0868372639470749
272.22109375;0.0;1.0;291.5515996474357;0.0863893726532865
272.17291666666665;0.0;1.0;291.63735801285463;0.0857583654188829
272.11328125;0.0;1.0;291.7223833561937;0.0850253433390548
272.04999999999995;0.0;1.0;291.80661697835546;0.0842336221617756
271.97734375;0.0;1.0;291.8900432589254;0.0834262805699381
271.89374999999995;0.0;1.0;291.97261530753326;0.082572048607858
271.81328125;0.0;1.0;292.0542779389523;0.0816626314190216
271.75;0.0;1.0;292.135053233348;0.0807752943957211
271.73984375;0.0;1.0;292.2150401134086;0.0799868800605736
271.78125;0.0;1.0;292.2945336445813;0.0794935311727726
271.83203125;0.0;1.0;292.37381872595;0.0792850813686527
271.85;0.0;1.0;292.4529478072608;0.0791290813107821
271.80984375;0.0;1.0;292.5317421611064;0.0787943538456374
271.73875;0.0;1.0;292.6098855041865;0.0781433430800575
271.67328125;0.0;1.0;292.68721208004496;0.0773265758584784
271.65;0.0;1.0;292.76375714415485;0.0765450641098937
271.668125;0.0;1.0;292.83975586379006;0.0759987196352085
271.705;0.0;1.0;292.9154378434231;0.0756819796330319
271.764375;0.0;1.0;292.9909074343779;0.0754695909548104
271.85;0.0;1.0;293.0662889404333;0.0753815060554075
271.95;0.0;1.0;293.1417265086239;0.0754375681905799
272.04999999999995;0.0;1.0;293.21729850578765;0.0755719971637631
272.15;0.0;1.0;293.29300419620154;0.0757056904138835
272.25;0.0;1.0;293.3688428481689;0.0758386519673877
272.35;0.0;1.0;293.4448137339979;0.0759708858289514
272.45;0.0;1.0;293.520916129979;0.0761023959811382
272.54999999999995;0.0;1.0;293.5971493163637;0.0762331863847407
272.65;0.0;0.984417880929622;293.6735125773427;0.076363260978951
272.771875;0.0;0.957851918205152;293.74702039520724;0.073507817864538
272.91666666666663;0.0;0.9242570013010922;293.81570412731054;0.0686837321032953
273.053125;0.0;0.8866750570510153;293.8783691782796;0.0626650509690307
273.15;0.0;0.8476819648616695;293.9342391520231;0.0558699737435404
273.1590625;0.0;0.8094570591345043;293.9828642900407;0.0486251380175986
273.0908333333333;0.0;0.7740067466344921;294.02395079812135;0.0410865080806388
273.0021875;0.0;0.7426410543423998;294.0576484037461;0.0336976056247522
272.95;0.0;0.7156802228276243;294.0846682289523;0.0270198252061959
272.93453125;0.0;0.6926671288082662;294.106090121028;0.0214218920756934
272.92375;0.0;0.6730775629643366;294.12290187909986;0.0168117580718671
272.92609374999995;0.0;0.6566622337699048;294.1358101766656;0.0129082975656729
272.95;0.0;0.6430343726106847;294.1455162450472;0.0097060683816607
273.00792410714286;0.0;0.6317157839049506;294.15268956899075;0.0071733239435616
273.09196428571425;0.0;0.6221354976042393;294.1579725368121;0.0052829678213583
273.18002232142857;0.0;0.6138557517047284;294.16185140380765;0.0038788669955351
273.25;0.0;0.606692067876144;294.1646049668478;0.0027535630401303
273.28482142857143;0.0;0.6006715474047326;294.1663542171018;0.0017492502540221
273.29761904761904;0.0;0.5959480214936325;294.1671312193842;0.0007770022824047
273.3116071428571;0.0;0.5924959037608749;294.1670692030864;-6.201629781799056e-05
273.35;0.0;0.5900545885524551;294.16642281792315;-0.0006463851632361
273.4225;0.0;0.5881812457872466;294.1655224506959;-0.0009003672272456
273.52666666666664;0.0;0.5864216907847226;294.16466495511725;-0.0008574955786571
273.6675;0.0;0.5844342382190821;294.1640452030693;-0.0006197520478963
273.85;0.0;0.5819035901591415;294.16381891372214;-0.0002262893472106
