TDryBul;oveHeaPumY_u;reaTZon_y;logistic(oveHeaPumY_u);reaPHeaPum_y
274.15;0.68292868;292.0120581;1;2353.843254
274.15;1;292.1483159;1;3001.10841
273.1772727;1;292.3426095;1;3007.895275
271.75;1;292.5090411;1;2988.195594
270.8584416;1;292.6616968;1;2979.697788
270.15;1;292.7943294;1;2972.687827
269.6842857;1;292.9103783;1;2970.104645
269.45;1;293.0120681;1;2972.072608
269.3966667;1;293.1075654;1;2978.198234
269.35;1;293.1896201;1;2983.62733
269.2395833;0.984011242;293.258948;1;2956.319915
269.15;0.947860462;293.3153404;1;2885.728845
269.58875;0.895438733;293.310202;1;2794.481143
270.15;0.847635035;293.3584114;1;2714.952659
270.355;1;293.4123378;1;3028.352831
270.45;1;293.4822535;1;3038.239811
270.45;1;293.5495946;1;3043.69178
270.45;1;293.6137152;1;3048.269554
270.45;1;293.6835449;1;3052.276076
270.45;1;293.7611549;1;3055.891116
270.4875;1;293.8358316;1;3060.29398
270.65;1;293.9061284;1;3068.355374
270.9;1;293.9921022;1;3079.554034
271.15;1;294.0937047;1;3091.167344
271.4;1;294.1910484;1;3103.14892
271.65;1;294.2833731;1;3115.433724
271.8675;1;294.3776348;1;3126.974344
272.05;1;294.481469;1;3137.436067
272.2033333;1;294.6120467;1;3147.177197
272.25;1;294.7483778;1;3153.84013
272.1729167;1;294.850265;1;3156.335879
272.05;1;294.9228823;1;3156.733604
271.89375;1;294.9359158;1;3155.216754
271.75;1;294.9487347;1;3152.855468
271.78125;0.359738652;294.9046915;1;1807.852565
271.85;0;294.7122385;0.006692851;0
271.73875;0;294.4164186;0.006692851;0
271.65;0;294.1041791;0.006692851;0
271.705;0;293.868519;0.006692851;0
271.85;0;293.6141903;0.006692851;0
272.05;0;293.372643;0.006692851;0
272.25;0;293.1438603;0.006692851;0
272.45;0.01328103;293.0217912;0.837605001;1118.562192
272.65;0.057847116;292.9160415;1;1198.175263
272.9166667;0.133322137;292.8192502;1;1334.374238
